"Number","BaseUrl","MainConentTag","HighestFreqTagSetS","FrequencyCount","MainContentScore","DepthMainContentinDOMTree"
"133","https://www.cnn.com/2019/05/24/asia/child-sex-offenders-intl/index.html","div","div","7","0.9943661093711853","11","article"
"134","https://www.cnn.com/2019/05/24/us/florida-wildfire-i95/index.html","ul","li","11","0.9908227920532227","9","article"
"135","https://www.cnn.com/2019/05/24/us/vietnam-veteran-memorial-vandalism/index.html","ul","li","11","0.9910808801651001","9","article"
"136","http://www.theverge.com/2017/9/7/16257412/rehabs-near-me-google-search-scam-florida-treatment-centers","div","p","7","1.5154536962509155","6","article"
"137","http://www.theverge.com/2017/10/10/16447264/prison-hacker-recycled-computer-fraud-ohio-marion-transkiy","div","p","20","1.4008738994598389","6","article"
"138","http://www.theverge.com/2017/6/13/15782200/one-device-secret-history-iphone-brian-merchant-book-excerpt","div","p","11","1.9295177459716797","6","article"
"139","http://www.theverge.com/2018/7/9/17546078/woo-audio-wa7-review-headphone-amplifier","div","p","5","1.040653109550476","8","article"
"140","http://www.theverge.com/2018/7/25/17607256/boundarys-errant-backpack-review-price-date","div","p","4","1.0175793170928955","8","article"
"141","http://www.theverge.com/2018/6/25/17492902/meteorite-hunting-authentication-steven-curry-montrose-colorado","div","p","9","1.5130972862243652","6","article"
"142","http://www.theverge.com/2017/9/14/16290934/india-air-conditioner-cooler-design-climate-change-cept-symphony","div","p","5","1.2323817014694214","6","article"
"143","https://www.theverge.com/2017/6/13/15782200/one-device-secret-history-iphone-brian-merchant-book-excerpt","div","p","11","1.9295177459716797","6","article"
"144","http://www.theverge.com/2018/6/28/17507322/best-unlimited-data-plans-verizon-att-tmobile-sprint","div","p","9","1.1145219802856445","8","article"
"145","http://www.theverge.com/2017/11/6/16610728/2017-new-york-marathon-blind-runner-wearworks-wayband-simon-wheatcroft","div","p","10","1.4886643886566162","6","article"
"146","http://www.theverge.com/2018/2/1/16956198/ona-brixton-camera-laptop-bag-review","div","p","4","1.079883337020874","8","article"
"147","http://www.theverge.com/2018/7/20/17594802/google-home-how-to-delete-conversations-recorded","div","p","3","1.0026017427444458","8","article"
"148","http://www.theverge.com/2017/11/16/16658358/vape-lobby-vaping-health-risks-nicotine-big-tobacco-marketing","div","p","11","1.1536469459533691","6","article"
"149","http://www.theverge.com/2017/3/5/14814838/nascar-new-rules-2017-daytona-500-photos-stages","div","p","7","1.3260446786880493","6","article"
"150","http://www.theverge.com/2018/6/6/17433294/salton-sea-crisis-drying-up-asthma-toxic-dust-pictures","div","p","4","1.2851333618164062","6","article"
"151","http://www.theverge.com/2018/3/21/17144260/healthcare-medicaid-algorithm-arkansas-cerebral-palsy","div","p","5","1.2786016464233398","6","article"
"152","http://www.theverge.com/2017/12/11/16748260/brockhampton-boy-band-interview-kevin-abstract-odd-future","div","p","7","1.1082454919815063","6","article"
"153","https://www.bbc.com/news/world-us-canada-48393721","div","p","5","1.0315569639205933","12","article"
"154","https://www.bbc.com/news/entertainment-arts-48380605","div","p","5","1.0319974422454834","12","article"
"155","https://www.bbc.com/news/world-asia-48395241","div","p","8","1.0257835388183594","12","article"
"156","https://www.bbc.com/news/world-us-canada-48401063","div","p","5","1.0379650592803955","12","article"
"157","https://www.bbc.com/news/science-environment-48289204","div","p","10","1.0526517629623413","12","article"
"158","https://www.bbc.com/sport/cycling/48393491","div","p","13","1.0060057640075684","13","article"
"159","https://www.bbc.com/news/world-europe-48382591","div","p","11","1.0331381559371948","12","article"
"160","https://www.bbc.com/news/uk-england-hampshire-48397401","div","p","7","1.0126910209655762","12","article"
"161","https://www.bbc.com/news/health-48349792","div","p","13","1.0597766637802124","12","article"
"162","https://www.bbc.com/news/science-environment-48387033","div","p","5","1.0374135971069336","12","article"
"163","https://www.bbc.com/news/uk-england-birmingham-48401641","div","p","7","1.0778142213821411","12","article"
"164","https://www.bbc.com/news/uk-england-essex-48394281","div","p","6","1.0230406522750854","12","article"
"165","https://www.bbc.com/news/blogs-trending-48395711","div","p","8","1.0371943712234497","13","article"
"166","https://www.bbc.com/news/world-us-canada-48402601","div","p","6","1.0260461568832397","12","article"
"167","https://www.bbc.com/news/business-48405481","div","p","5","1.008638620376587","12","article"
"168","https://www.bbc.com/news/entertainment-arts-48309524","div","p","5","1.022750973701477","12","article"
"169","https://www.bbc.com/news/world-us-canada-48393665","div","p","6","1.0827189683914185","12","article"
